Ticker,Industry Name,Company Name,Sub-sector,Market Capitalization
HAIS,Logistics & Deliveries,PT Hasnur Internasional Shipping Tbk,Logistics & Deliveries / Code: K211,496.36 B IDR
BOAT,Transportation,PT Newport Marine Services Tbk,Not in source,486.73 B IDR
TRUK,Logistics & Deliveries,PT Guna Timur Raya Tbk,Logistics & Deliveries / Code: K211,467.63 B IDR
RIGS,Transportation,PT Rig Tenders Indonesia Tbk,Not in source,435.53 B IDR
PPGL,Logistics & Deliveries,PT Prima Globalindo Logistik Tbk,Logistics & Deliveries / Code: K211,360.91 B IDR
MPXL,Logistics & Deliveries,PT MPX Logistics International Tbk,Logistics & Deliveries / Code: K211,328 B IDR
KLAS,Logistics & Deliveries,PT Pelayaran Kurnia Lautan Semesta Tbk,Logistics & Deliveries / Code: K211,317.06 B IDR
SAPX,Logistics & Deliveries,PT Satria Antaran Prima Tbk,Logistics & Deliveries / Code: K211,226.67 B IDR
SDMU,Logistics & Deliveries,PT Sidomulyo Selaras Tbk,Logistics & Deliveries / Code: K211,207.06 B IDR
PURA,Logistics & Deliveries,PT Putra Rajawali Kencana Tbk,Logistics & Deliveries / Code: K211,201.66 B IDR
HELI,Airlines,PT Jaya Trishindo Tbk,Airlines / Code: K111,168.24 B IDR
WEHA,Road Transportation,PT WEHA Transportasi Indonesia Tbk,Road Transportation / Code: K132,164.95 B IDR
LAJU,Logistics & Deliveries,PT Jasa Berdikari Logistics Tbk,Logistics & Deliveries / Code: K211,161.25 B IDR
PTIS,Transportation,PT Indo Straits Tbk,Not in source,139.74 B IDR
JAYA,Logistics & Deliveries,PT Armada Berjaya Trans Tbk,Logistics & Deliveries / Code: K211,135.74 B IDR
TAXI,Road Transportation,PT Express Transindo Utama Tbk,Road Transportation / Code: K132,132.91 B IDR
KJEN,Logistics & Deliveries,PT Krida Jaringan Nusantara Tbk,Logistics & Deliveries / Code: K211,81.5 B IDR
TNCA,Logistics & Deliveries,PT Trimuda Nuansa Citra Tbk,Logistics & Deliveries / Code: K211,75.05 B IDR
LRNA,Road Transportation,PT Eka Sari Lorena Transport Tbk,Road Transportation / Code: K132,68.95 B IDR
CMPP,Airlines,PT AirAsia Indonesia Tbk,Airlines / Code: K111,Not in source
BPTR,Road Transportation,PT Batavia Prosperindo Trans Tbk,Road Transportation / Code: K132,Not in source
IMJS,Road Transportation,PT Indomobil Multi Jasa Tbk,Road Transportation / Code: K132,Not in source
TRJA,Road Transportation,PT Transkon Jaya Tbk,Road Transportation / Code: K132,Not in source
AKSI,Logistics & Deliveries,PT Mineral Sumberdaya Mandiri Tbk,Logistics & Deliveries / Code: K211,Not in source
DEAL,Logistics & Deliveries,PT Dewata Freightinternational Tbk,Logistics & Deliveries / Code: K211,Not in source
LOPI,Logistics & Deliveries,PT Logisticsplus International Tbk,Logistics & Deliveries / Code: K211,Not in source
MIRA,Logistics & Deliveries,PT Mitra International Resources Tbk,Logistics & Deliveries / Code: K211,Not in source
PJHB,Logistics & Deliveries,PT Pelayaran Jaya Hidup Baru Tbk,Logistics & Deliveries / Code: K211,Not in source
RCCC,Logistics & Deliveries,PT Utama Radar Cahaya Tbk,Logistics & Deliveries / Code: K211,Not in source
WBSA,Logistics & Deliveries,PT BSA Logistics Indonesia Tbk,Logistics & Deliveries / Code: K211,Not in source
PANI,Logistics & Deliveries,Pratama Abadi Nusa Industri Tbk.,Logistics & Deliveries,Not in source
